Quarter of Periode,Y-O-Y
2011 Q1,6.48
2011 Q2,6.27
2011 Q3,6.01
2011 Q4,5.94
2012 Q1,6.11
2012 Q2,6.21
2012 Q3,5.94
2012 Q4,5.87
2013 Q1,5.54
2013 Q2,5.59
2013 Q3,5.52
2013 Q4,5.58
2014 Q1,5.12
2014 Q2,4.94
2014 Q3,4.93
2014 Q4,5.05
2015 Q1,4.83
2015 Q2,4.74
2015 Q3,4.78
2015 Q4,5.15
2016 Q1,4.94
2016 Q2,5.21
2016 Q3,5.03
2016 Q4,4.94
2017 Q1,5.01
2017 Q2,5.01
2017 Q3,5.06
2017 Q4,5.19
2018 Q1,5.07
2018 Q2,5.27
2018 Q3,5.17
2018 Q4,5.18
2019 Q1,5.06
2019 Q2,5.05
2019 Q3,5.01
2019 Q4,4.96
2020 Q1,2.97
2020 Q2,-5.32
2020 Q3,-3.49
2020 Q4,-2.17
2021 Q1,-0.69
2021 Q2,7.08
2021 Q3,3.53
2021 Q4,5.03
2022 Q1,5.02
2022 Q2,5.46
2022 Q3,5.73
2022 Q4,5.01
2023 Q1,5.04
2023 Q2,5.17
2023 Q3,4.94
2023 Q4,5.04
2024 Q1,5.11
2024 Q2,5.05
